      1024,         8,     0.014
      1024,        16,     0.014
      1024,        32,     0.010
      1024,        64,     0.011
      1024,       128,     0.017
      1024,       256,     0.015
      1024,       512,     0.015
      4096,         8,     0.058
      4096,        16,     0.047
      4096,        32,     0.049
      4096,        64,     0.088
      4096,       128,     0.043
      4096,       256,     0.057
      4096,       512,     0.044
     16384,         8,     0.215
     16384,        16,     0.224
     16384,        32,     0.119
     16384,        64,     0.238
     16384,       128,     0.188
     16384,       256,     0.216
     16384,       512,     0.274
     65536,         8,     0.581
     65536,        16,     0.752
     65536,        32,     0.797
     65536,        64,     1.169
     65536,       128,     0.866
     65536,       256,     0.944
     65536,       512,     0.714
    262144,         8,     0.720
    262144,        16,     1.011
    262144,        32,     0.787
    262144,        64,     1.044
    262144,       128,     1.077
    262144,       256,     0.823
    262144,       512,     0.900
   1048576,         8,     1.676
   1048576,        16,     2.275
   1048576,        32,     2.966
   1048576,        64,     3.030
   1048576,       128,     3.931
   1048576,       256,     3.579
   1048576,       512,     4.005
   4194304,         8,     2.467
   4194304,        16,     4.513
   4194304,        32,     6.502
   4194304,        64,     7.312
   4194304,       128,     8.604
   4194304,       256,     7.013
   4194304,       512,     7.215
